"seller id","warehouse id","po_type","store order id","order release id","order line id","seller order id","order id fk","created on","style id","seller sku code","sku id","myntra sku code","size","vendor article number","brand","style name","article type","order status","packet id","seller packe id","courier code","order tracking number","seller warehouse id","cancellation reason id fk","cancellation reason","packed on","fmpu date","inscanned on","shipped on","delivered on","cancelled on","rto creation date","lost date","return creation date","final amount","total mrp","discount","coupon discount","shipping charge","gift charge","tax recovery","city","state","zipcode","gt charges","seller price"
"36387","58640","PPMP","'131622034273245665001","8829725446","10829991968","f1a34a4d-3110-4f53-9ff7-9419a5f0fdc4","5689176236","2025-11-28 20:29:32.000","36084497","RUS_SOL_KURTA_YELLOW_M","115296641","ANRCKRTA115296641","M","RUS_SOL_KURTA_YELLOW","Anouk Rustic","Anouk Rustic Band Collar Straight Kurta","Kurtas","F","9812143858",,"EK_E2E","MYEP1094140419","58640","110","Vendor Failed to Handover (Ekart)","2025-11-29 10:05:47.000",,,,,"2025-12-05 16:02:04.000",,,,"299.00","1999.00","1700.00","0.00","0.00","0.00","0.00","Mumbai","MH","400089","59","240"
"36387","58640","PPMP","'131527613537954528301","8808521980","10808757703","07380c18-6d8e-4f8a-b197-6645aa34f0d1","5676763946","2025-11-17 22:12:43.000","36084497","RUS_SOL_KURTA_YELLOW_M","115296641","ANRCKRTA115296641","M","RUS_SOL_KURTA_YELLOW","Anouk Rustic","Anouk Rustic Band Collar Straight Kurta","Kurtas","C","8808521980",,"EK_E2E","MYEC1075174902","58640",,,"2025-11-18 09:53:12.000","2025-11-18 16:33:33.000","2025-11-19 03:49:10.000","2025-11-19 03:54:43.000","2025-11-23 12:24:50.000",,,,"2025-11-24 11:58:00","299.00","1999.00","1700.00","0.00","0.00","0.00","0.00","Paharpur","BR","852127","59","240"
"36387","58640","PPMP","'131432923493958376401","8789768335","10789960973","1740efeb-0dea-42c1-8220-1cd4a5d3c74b","5665133666","2025-11-06 23:11:03.000","36084501","RUS_ICH_DIAMOND_CORAL_XL","115296663","ANRCKRTA115296663","XL","RUS_ICH_DIAMOND_CORAL","Anouk Rustic","Anouk Rustic Men Geometric Woven Design Kurta","Kurtas","RTO","8789768335",,"EK_E2E","MYEC1073593866","58640","37","RTO Cancellation","2025-11-07 11:31:07.000","2025-11-07 18:30:47.000","2025-11-09 14:52:55.000","2025-11-09 15:00:50.000",,"2025-11-14 17:44:54.000","2025-11-14 17:44:54",,,"299.00","2499.00","2200.00","0.00","0.00","0.00","0.00","Jamshedpur","JH","831017","59","240"
"36387","58640","PPMP","'131595633027153345603","8820859673","10821122214","6db2781d-8422-4aa6-8c76-ca8a97d4faee","5684562604","2025-11-25 19:09:18.000","36084938","RUS_KURTA_PURPLE_M","115297522","ANRCKRTA115297522","M","RUS_KURTA_PURPLE","Anouk Rustic","Anouk Rustic Geometric Printed Band Collar Straight Kurta","Kurtas","C","8820859673",,"EK_E2E","MYEC1076244316","58640",,,"2025-11-26 10:07:45.000","2025-11-26 15:00:44.000","2025-11-27 12:20:14.000","2025-11-27 12:26:49.000","2025-12-01 13:56:31.000",,,,,"299.00","2499.00","2200.00","0.00","0.00","0.00","0.00","Anakapalle","AP","531031","59","240"
"36387","58640","PPMP","'131459136212706553301","8794942174","10795144258","0ea9945b-f5d5-4a5a-95a8-7b25e53944ef","5668331052","2025-11-09 23:59:50.000","36084481","RUS_KURTA_GREY_S","115296560","ANRCKRTA115296560","S","RUS_KURTA_GREY","Anouk Rustic","Anouk Rustic Geometric Printed Mandarin Collar Straight Kurta","Kurtas","C","8794942174",,"EK_E2E","MYEC1073954690","58640",,,"2025-11-10 10:01:00.000","2025-11-10 17:49:27.000","2025-11-11 05:11:21.000","2025-11-11 05:16:58.000","2025-11-13 11:09:33.000",,,,"2025-11-20 20:41:00","299.00","2499.00","2200.00","0.00","0.00","0.00","0.00","Godhara","GJ","389160","59","240"
"36387","58640","PPMP","'131559410969340927601","8814068228","10814318583","8af08a48-f6d5-468e-afaa-0348811abd18","5680344952","2025-11-21 14:32:18.000","36084490","RUS_KURTA_STR_YELLOW_L","115296607","ANRCKRTA115296607","L","RUS_KURTA_STR_YELLOW","Anouk Rustic","Anouk Rustic Men Striped Daily Straight Kurta","Kurtas","C","8814068228",,"EK_E2E","MYEC1075717048","58640",,,"2025-11-22 09:51:04.000","2025-11-22 16:09:30.000","2025-11-22 23:37:45.000","2025-11-22 23:44:14.000","2025-11-26 15:09:51.000",,,,"2025-11-30 23:02:00","299.00","1999.00","1700.00","0.00","0.00","0.00","0.00","Gautam Buddha Nagar","UP","201301","59","240"
"36387","58640","PPMP","'131638166392186874601","8833501793","10833770278","dc719cca-a217-4950-bdc3-f93f61c28831","5691437614","2025-11-30 17:18:12.000","36084938","RUS_KURTA_PURPLE_S","115297521","ANRCKRTA115297521","S","RUS_KURTA_PURPLE","Anouk Rustic","Anouk Rustic Geometric Printed Band Collar Straight Kurta","Kurtas","C","8833501793",,"EK_E2E","MYEP1094533416","58640",,,"2025-12-01 12:23:56.000","2025-12-01 16:53:10.000","2025-12-02 08:04:24.000","2025-12-02 08:09:31.000","2025-12-06 15:24:49.000",,,,,"299.00","2499.00","2200.00","0.00","0.00","0.00","0.00","Anakapalle","AP","531031","59","240"
"36387","58640","PPMP","'131502545365254999303","8803475243","10803696944","a919179b-df1a-4601-934f-64704413a94d","5673690481","2025-11-15 00:34:42.000","36084483","RUS_ICH_DOBBY_ORANGE_L","115296571","ANRCKRTA115296571","L","RUS_ICH_DOBBY_ORANGE","Anouk Rustic","Anouk Rustic Men Mandarin Collar Pure Cotton Kurta","Kurtas","C","8803475243",,"EK_E2E","MYEP1092217899","58640",,,"2025-11-15 12:33:39.000","2025-11-15 15:42:59.000","2025-11-16 00:52:44.000","2025-11-16 00:58:00.000","2025-11-19 10:42:21.000",,,,"2025-11-25 23:49:00","299.00","2199.00","1900.00","30.00","0.00","0.00","0.00","Nanded","MH","431807","59","240"
"36387","58640","PPMP","'131468690709988674103","8796726818","10796932263","9ebed541-4d5b-4e40-9b6d-84d75b7e3677","5669441563","2025-11-11 02:32:15.000","36084497","RUS_SOL_KURTA_YELLOW_M","115296641","ANRCKRTA115296641","M","RUS_SOL_KURTA_YELLOW","Anouk Rustic","Anouk Rustic Band Collar Straight Kurta","Kurtas","C","8796726818",,"EK_E2E","MYEC1074172361","58640",,,"2025-11-11 11:05:34.000","2025-11-11 17:42:03.000","2025-11-12 03:43:05.000","2025-11-12 03:47:48.000","2025-11-15 13:07:16.000",,,,,"299.00","1999.00","1700.00","0.00","0.00","0.00","0.00","New Delhi","DL","110042","59","240"
"36387","58640","PPMP","'131533045042272873501","8809331158","10809569537","9ef1e84d-01a2-4d58-81ab-f85bc63c5788","5677266690","2025-11-18 13:17:58.000","36084504","RUS_ICH_DOBBY_BEIGE_XL","115296678","ANRCKRTA115296678","XL","RUS_ICH_DOBBY_BEIGE","Anouk Rustic","Anouk Rustic Men Pure Cotton Woven Design Mandarin Collar Regular Kurta","Kurtas","C","8809331158",,"EK_E2E","MYEP1092686344","58640",,,"2025-11-18 13:51:03.000","2025-11-18 16:33:27.000","2025-11-19 06:46:04.000","2025-11-19 06:51:29.000","2025-11-20 16:41:30.000",,,,,"299.00","2199.00","1900.00","0.00","0.00","0.00","0.00","Mumbai","MH","400028","59","240"
