"seller id","warehouse id","po_type","store order id","order release id","order line id","seller order id","order id fk","created on","style id","seller sku code","sku id","myntra sku code","size","vendor article number","brand","style name","article type","order status","packet id","seller packe id","courier code","order tracking number","seller warehouse id","cancellation reason id fk","cancellation reason","packed on","fmpu date","inscanned on","shipped on","delivered on","cancelled on","rto creation date","lost date","return creation date","final amount","total mrp","discount","coupon discount","shipping charge","gift charge","tax recovery","city","state","zipcode","seller price"
"36387","58640","PPMP","'130779832507097990703","8629625955","10629550742","19149e5e-0d67-4c41-b42b-dc9c385e9c4a","5571435986","2025-08-23 09:02:33.000","36084484","RUS_KURTA_STR_PINK_S","115296575","ANRCKRTA115296575","S","RUS_KURTA_STR_PINK","Anouk Rustic","Anouk Rustic Striped Band Collar Straight Kurta","Kurtas","F","8629625955",,"DE_4PL","5965271710123","58640","89","Hard Stop cancellation from platform","2025-08-23 13:37:33.000","2025-08-25 17:07:10.000","2025-08-29 06:40:54.000","2025-08-29 07:01:57.000",,"2025-09-18 19:46:04.000",,,,"399.00","1999.00","1600.00","0.00","0.00","0.00","0.00","Mumbai","MH","400060","340"
"36387","58640","PPMP","'130837150934839355101","8638369131","10638293641","0f811d15-552c-40c0-beb0-be14b56e34bb","5576877976","2025-08-30 00:15:38.000","36084505","RUS_ICH_CHECKS_NAVY_L","115296682","ANRCKRTA115296682","L","RUS_ICH_CHECKS_NAVY","Anouk Rustic","Anouk Rustic Checked Sequinned Band Collar Straight Kurta","Kurtas","C","8638369131",,"EK_E2E","MYEP1079902113","58640",,,"2025-08-30 11:37:42.000","2025-08-30 15:33:57.000","2025-08-31 00:49:35.000","2025-08-31 00:54:24.000","2025-09-01 12:36:07.000",,,,"2025-09-01 12:47:00","399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Mumbai","MH","400097","340"
"36387","58640","PPMP","'130794612667765098003","8632398293","10632322946","7b6ea8f5-4c87-4e7f-b4f7-5d029c6afa5e","5573120645","2025-08-25 02:05:55.000","36084504","RUS_ICH_DOBBY_BEIGE_L","115296677","ANRCKRTA115296677","L","RUS_ICH_DOBBY_BEIGE","Anouk Rustic","Anouk Rustic Men Pure Cotton Woven Design Mandarin Collar Regular Kurta","Kurtas","C","8632398293",,"EK_E2E","MYEP1079347103","58640",,,"2025-08-25 12:46:57.000","2025-08-25 17:01:07.000","2025-08-29 05:55:44.000","2025-08-29 06:02:02.000","2025-09-01 12:02:11.000",,,,,"351.00","2199.00","1848.00","0.00","0.00","0.00","0.00","Hindmotor","WB","712233","292"
"36387","58640","PPMP","'130845273075391308701","8639647475","10639571972","5364a64f-ed82-495b-a625-bf721988c7db","5577658414","2025-08-30 22:49:19.000","36084496","RUS_MAGIC_IKKAT_NAVY_M","115296636","ANRCKRTA115296636","M","RUS_MAGIC_IKKAT_NAVY","Anouk Rustic","Anouk Rustic Men Ethnic Motifs Printed Daily Straight Kurta","Kurtas","C","8639647475",,"EK_E2E","MYEP1079993536","58640",,,"2025-08-31 12:08:52.000","2025-09-01 17:41:52.000","2025-09-02 02:54:47.000","2025-09-02 03:01:24.000","2025-09-03 15:13:35.000",,,,,"399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Nashik","MH","422009","340"
"36387","58640","PPMP","'130744271816971211301","8623142834","10623067833","285b0b11-bf6b-4d35-a509-3568c54fd687","5567494545","2025-08-19 06:15:46.000","36084489","RUS_SK_Shatranj_Eygpt_Grey_XL","115296603","ANRCKRTA115296603","XL","RUS_SK_Shatranj_Eygpt_Grey","Anouk Rustic","Anouk Rustic Men Pure Cotton Mandarin Collar Thread Work Kurta","Kurtas","F",,,"EK_E2E",,"58640","41","Incorrect size ordered",,,,,,"2025-08-19 06:15:58.000",,,,"319.00","1999.00","1680.00","0.00","0.00","0.00","0.00","Jhinkpani","JH","833215","260"
"36387","58640","PPMP","'130695733381388455601","8615242405","10615167863","9a76488e-b747-46b9-9eb2-399fe0c78d83","5562801289","2025-08-13 15:26:03.000","36084500","RUS_KURTA_NAVY_M","115296656","ANRCKRTA115296656","M","RUS_KURTA_NAVY","Anouk Rustic","Anouk Rustic Men Ethnic Motifs Printed Daily Straight Kurta","Kurtas","F","8615242405",,"EK_E2E","MYEP1077970869","58640","28","Incorrect size ordered","2025-08-14 12:09:10.000","2025-08-14 17:14:10.000","2025-08-15 04:37:51.000","2025-08-15 04:43:34.000",,"2025-08-20 10:38:04.000",,,,"399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Chimbel","GA","403006","340"
"36387","58640","PPMP","'130759398136063596203","8625595155","10625520058","b60dd7fb-6ba7-4111-9d5b-f17e0c742d3b","5569047996","2025-08-21 00:16:49.000","36084938","RUS_KURTA_PURPLE_XXL","115297525","ANRCKRTA115297525","XXL","RUS_KURTA_PURPLE","Anouk Rustic","Anouk Rustic Geometric Printed Band Collar Straight Kurta","Kurtas","C","8625595155",,"EK_E2E","MYEC1061574299","58640",,,"2025-08-22 10:10:30.000","2025-08-22 18:05:50.000","2025-08-25 01:33:03.000","2025-08-25 01:37:01.000","2025-08-29 15:40:09.000",,,,,"399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Lucknow","UP","226023","340"
"36387","58640","PPMP","'130799890130327156801","8633013765","10632938394","dfc397a8-58b2-43b9-985f-725d10b417fe","5573507249","2025-08-25 16:45:30.000","36084496","RUS_MAGIC_IKKAT_NAVY_L","115296637","ANRCKRTA115296637","L","RUS_MAGIC_IKKAT_NAVY","Anouk Rustic","Anouk Rustic Men Ethnic Motifs Printed Daily Straight Kurta","Kurtas","C","8633013765",,"EK_E2E","MYEP1079460127","58640",,,"2025-08-26 11:40:52.000","2025-08-26 16:02:02.000","2025-08-29 05:33:23.000","2025-08-29 05:39:07.000","2025-08-30 16:30:32.000",,,,,"399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Mumbai","MH","400104","340"
"36387","58640","PPMP","'130730381441399727203","8620955883","10620881060","7082bce6-1674-4cfd-8e5b-318d22311066","5566187064","2025-08-17 15:40:42.000","36084501","RUS_ICH_DIAMOND_CORAL_XL","115296663","ANRCKRTA115296663","XL","RUS_ICH_DIAMOND_CORAL","Anouk Rustic","Anouk Rustic Men Geometric Woven Design Kurta","Kurtas","C","8620955883",,"EK_E2E","MYEP1078432218","58640",,,"2025-08-18 11:59:27.000","2025-08-21 17:58:36.000","2025-08-22 04:12:42.000","2025-08-22 04:19:05.000","2025-08-25 17:17:57.000",,,,,"399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Kolkata","WB","700045","340"
"36387","58640","PPMP","'130823075089813166901","8636047808","10635972420","e7787188-0830-4baf-bd2f-6b0c7ec12f75","5575425103","2025-08-28 09:09:39.000","36084501","RUS_ICH_DIAMOND_CORAL_M","115296661","ANRCKRTA115296661","M","RUS_ICH_DIAMOND_CORAL","Anouk Rustic","Anouk Rustic Men Geometric Woven Design Kurta","Kurtas","C","8636047808",,"EK_E2E","MYEP1079685738","58640",,,"2025-08-28 12:34:15.000","2025-08-28 17:30:30.000","2025-08-29 08:53:28.000","2025-08-29 08:59:23.000","2025-09-01 15:03:22.000",,,,,"399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Vadodara","GJ","390009","340"
